"Value Stream","Value Stream ID","Process ID","Core Process (Level 1)","Description (Level 1)","Executing Capabilities (L2 Execution)","Sub-Process ID","Sub-Process (Level 2)","Description (Level 2)","Trigger","Internal Actors","External Actors","Internal Systems","External Systems","Related Procedures"
"Land Tax Liability Determined","LTX-VS-04",,"Administer Land Tax Liability","Executes the calculation of financial obligations arising from land ownership by applying statutory rates, surcharges, penalties, and interest to land values and treatment outcomes.","Assessment Lifecycle Management
New Liability Identification
Absentee Owner Tax Treatment",,"Calculate Primary Land Tax Liability","Calculates the primary Land Tax amount by applying statutory rates and thresholds to land value and treatment outcomes.",,,,,,
"Land Tax Liability Determined","LTX-VS-04",,,,,,"Apply Absentee Owner Surcharge","Calculates surcharge amounts once absentee owner eligibility has been established.",,,,,,
"Land Tax Liability Determined","LTX-VS-04",,,,,,"Calculate Penalties","Calculates penalty amounts arising from non-compliance or late actions.",,,,,,
"Land Tax Liability Determined","LTX-VS-04",,,,,,"Calculate Interest","Calculates statutory interest on overdue Land Tax liabilities.",,,,,,
"Land Tax Obligations Formally Established & Communicated","LTX-VS-05",,"Administer Land Tax Assessments","Executes the creation, issue, amendment, and cancellation of Land Tax assessments and notices, converting calculated liability into a formally issued and legally enforceable obligation.","Assessment Lifecycle Management
Demand Generation & Payment Processing
Adjustment Management
Special Levy Administration",,"Generate Assessments","Creates the formal Land Tax assessment record that establishes a legally enforceable obligation.",,,,,,
"Land Tax Obligations Formally Established & Communicated","LTX-VS-05",,,,,,"Issue Assessments & Payment Notices","Issues official notices communicating the assessed Land Tax and payment requirements to taxpayers.",,,,,,
"Land Tax Obligations Formally Established & Communicated","LTX-VS-05",,,,,,"Withdraw or Cancel Assessments","Formally reverses or nullifies assessments where required under legislation or error correction.",,,,,,
"Land Tax Obligations Formally Established & Communicated","LTX-VS-05",,,,,,"Manage RTU / Special Assessments","Handles non-standard or specialised assessments that still form part of the assessment lifecycle.",,,,,,
"Land Tax Obligations Settled & Corrected","LTX-VS-06",,"Administer Payments & Financial Adjustments","Executes the receipt, allocation, reconciliation, and correction of Land Tax payments, including refunds and suspense handling, to accurately settle assessed obligations.","Demand Generation & Payment Processing
Payment Suspense & Refund Management",,"Receive Payments","Accepts Land Tax payments from taxpayers through approved payment channels.",,,,,,
"Land Tax Obligations Settled & Corrected","LTX-VS-06",,,,,,"Allocate & Process Payments","Allocates received payments to the correct accounts and liabilities.",,,,,,
"Land Tax Obligations Settled & Corrected","LTX-VS-06",,,,,,"Manage Refunds","Processes repayment of overpaid or incorrectly applied Land Tax amounts.",,,,,,
"Land Tax Obligations Settled & Corrected","LTX-VS-06",,,,,,"Manage Payment Suspense","Manages unresolved or unmatched payments pending clarification or correction.",,,,,,
"Non-Compliance Addressed and Liabilities Recovered","LTX-VS-08",,"Administer Debt Recovery & Enforcement","Executes monitoring and enforcement actions for unpaid Land Tax liabilities, including recovery processes and insolvency management, where voluntary compliance has not occurred.
","Debt Recovery & Enforcement
Case Management (Complex / Specialist)",,"Monitor Overdue Debt","Identifies Land Tax liabilities that remain unpaid beyond due dates.",,,,,,
"Non-Compliance Addressed and Liabilities Recovered","LTX-VS-08",,,,,,"Recover Unpaid Land Tax","Applies statutory recovery actions to collect outstanding Land Tax debts.",,,,,,
"Non-Compliance Addressed and Liabilities Recovered","LTX-VS-08",,,,,,"Manage Customer Insolvency","Manages Land Tax recovery where taxpayers enter insolvency arrangements.",,,,,,
"Statutory Land Tax Assurances Provided","LTX-VS-09",,"Administer Certificates & Assurance","Executes the provision of formal Land Tax certifications and assurances, such as Property Clearance Certificates, confirming Land Tax status to customers and third parties.","Property Information Services
Assessment Quality Assurance",,"Issue Property Clearance Certificates","Provides legally required certification of Land Tax status for property transactions.",,,,,,
"Statutory Land Tax Assurances Provided","LTX-VS-09",,,,,,"Provide Land Tax Status Assurance","Provides formal confirmation of Land Tax compliance or liability status to customers or third parties.",,,,,,
