Title,ValueStageName,ValueStageID,ValueStageDescription,CapabilityName,CapabilityID,CapabilityDescription,CapabilityMaturityLevel,Priority
Joint Ownership,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Joint Ownership,VS1-L2-05,"Manage land owned by more than one party, including proportional interests and lead-owner assignment.",Med,
Land Held on Trust,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Land Held on Trust,VS1-L2-06,"Manage land ownership where land is held under trust arrangements, capturing trustee and beneficiary relationships.",Med,
Ownership Maintenance,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Ownership Maintenance,VS1-L2-04,Maintain ownership details and ownership changes over time so the correct party is held liable.,High,
Ownership Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Ownership Management,COM-07-L2-04,Managing the link between properties and their registered owners within the revenue system.,High,
Property Creation,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Property Creation,COM-07-L2-02,Creating new property records in the system from data received via third-party feeds or manual staff entry.,High,
Property Data Acquisition,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Property Data Acquisition,COM-07-L2-03,,High,
Revenue Line Registration Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Revenue Line Registration Management,COM-08-L2-01,,High,
Subdivision/Consolidation Management,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Subdivision/Consolidation Management,COM-07-L2-05,Managing property record changes arising from subdivision or consolidation events.,Low,
Subdivisions & Consolidations,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Subdivisions & Consolidations,VS1-L2-02,"Manage changes to land parcels resulting from subdivision or consolidation, and update taxable land records accordingly.",Med,
Taxable Land Maintenance,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Taxable Land Maintenance,VS1-L2-01,"Maintain records of land that is subject to Land Tax, ensuring only qualifying land is included in assessments.",Med,
Title to Property Relationship,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Title to Property Relationship,VS1-L2-03,"Maintain the relationship between legal land titles and property records, ensuring title changes are reflected in the system.",Med,
Unknown Customer,Accurate Land & Ownership Information Maintained,LTX-VS-01,,Unknown Customer,VS1-L2-07,"Manage land or ownership records where the liable party is not yet identified, flagging for investigation.",High,
Valuation Data Acquisition,Authoritative Land Value Established,LTX-VS-02,,Valuation Data Acquisition,COM-09-L2-01,Receiving and ingesting valuation data from the Valuer-General and other authoritative sources.,Low,
Valuation Data Management,Authoritative Land Value Established,LTX-VS-02,,Valuation Data Management,COM-09-L2-02,Maintaining the accuracy and completeness of valuation records used in assessment calculations.,Low,
Concession Application,Correct Land Tax Rules Applied,LTX-VS-03,,Concession Application,VS2-L2-06,Receiving and processing applications for land tax concessions including eligibility assessment and approval.,Med,
Determine Land Tax Liability,Correct Land Tax Rules Applied,LTX-VS-03,,Determine Land Tax Liability,VS2-L2-03,"Determine whether Land Tax applies to specific land and how liability is calculated, including thresholds and exemptions.",Med,
Exemption Application Management,Correct Land Tax Rules Applied,LTX-VS-03,,Exemption Application Management,VS2-L2-05,,High,
Exemption Creation Management,Correct Land Tax Rules Applied,LTX-VS-03,,Exemption Creation Management,VS2-L2-04,"Defining and configuring exemption types available under the Land Tax Act, including eligibility criteria and duration.",Low,
Joint Ownership,Correct Land Tax Rules Applied,LTX-VS-03,,Joint Ownership,VS2-L2-01,"Determine tax treatment for land owned jointly, applying the correct grouping and rate rules.",Med,
Land Held on Trust,Correct Land Tax Rules Applied,LTX-VS-03,,Land Held on Trust,VS2-L2-02,"Determine tax treatment for land held under trust arrangements, applying trust-specific rates and surcharges.",Med,
Land Tax,Correct Land Tax Rules Applied,LTX-VS-03,,Land Tax,VS2-L2-09,,Med,
Tax/Entitlement Rate Management,Correct Land Tax Rules Applied,LTX-VS-03,,Tax/Entitlement Rate Management,VS2-L2-07,Managing the land tax rates applicable to different taxpayer types and ownership categories.,Low,
Threshold Management,Correct Land Tax Rules Applied,LTX-VS-03,,Threshold Management,VS2-L2-08,,Low,
Usage Management,Correct Land Tax Rules Applied,LTX-VS-03,,Usage Management,VS2-L2-10,"Managing information about how a property is occupied and used, which affects land tax exemption and concession eligibility.",Low,
Assessment Generation Management,Land Tax Liability Determined,LTX-VS-04,,Assessment Generation Management,COM-01-L2-02,Managing the process of generating assessment notices from calculated liabilities.,Low,
Automated Communication Management,Land Tax Liability Determined,LTX-VS-04,,Automated Communication Management,COM-03-L2-01,Managing system-generated outbound communications triggered by assessment events. Includes rules for which channel is used for which communication type,Low,
Deduction Management,Land Tax Liability Determined,LTX-VS-04,,Deduction Management,VS3-L2-10,,Low,
General Valuations,Land Tax Liability Determined,LTX-VS-04,,General Valuations,VS3-L2-02,Apply standard Valuer-General valuation data for the annual Land Tax assessment cycle.,Med,
Generate Land Tax Assessments,Land Tax Liability Determined,LTX-VS-04,,Generate Land Tax Assessments,VS3-L2-06,Generate Land Tax assessment outcomes using validated liability calculations and valuation data.,Med,
Liability/Entitlement Calculation Management,Land Tax Liability Determined,LTX-VS-04,,Liability/Entitlement Calculation Management,VS3-L2-09,,High,
SRO Requested Valuations,Land Tax Liability Determined,LTX-VS-04,,SRO Requested Valuations,VS3-L2-04,Manage valuations specifically requested by SRO to support assessment decisions.,Low,
Single Valuation for Multiple Properties,Land Tax Liability Determined,LTX-VS-04,,Single Valuation for Multiple Properties,VS3-L2-05,Apply a single valuation across related properties where appropriate under the Land Tax Act.,Low,
Supplementary Valuations,Land Tax Liability Determined,LTX-VS-04,,Supplementary Valuations,VS3-L2-03,Apply updated valuations when land circumstances change between general valuation cycles.,Med,
Threshold Management,Land Tax Liability Determined,LTX-VS-04,,Threshold Management,VS3-L2-11,,Low,
Valuations Maintenance,Land Tax Liability Determined,LTX-VS-04,,Valuations Maintenance,VS3-L2-01,"Maintain valuation data used for Land Tax assessment, including updates from the Valuer-General.",Med,
Assessment Cancellation Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Assessment Cancellation Management,COM-01-L2-01,Managing the cancellation of assessment notices that have been issued in error or superseded.,Low,
Assessment Withdrawal Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Assessment Withdrawal Management,COM-01-L2-03,Managing the formal withdrawal of issued assessment notices.,Low,
Communication Preference/Consent Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Communication Preference/Consent Management,COM-03-L2-02,Extends beyond just “electronic consent” to capture consent per channel (a customer may consent to email but not SMS),Low,
Customer Communication Record Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Customer Communication Record Management,COM-03-L2-03,Recording and maintaining a history of all communications with customers.,Low,
Issue Cycle Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Issue Cycle Management,VS3-L2-08,,Med,
Issue Land Tax Assessments,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Issue Land Tax Assessments,VS3-L2-07,"Issue formal Land Tax assessments to customers, giving legal effect to the tax obligation.",Low,
Service of Notice Management,Land Tax Obligations Formally Established & Communicated,LTX-VS-05,,Service of Notice Management,COM-01-L2-04,"Managing the formal service of assessment notices to customers, including electronic and postal channels.",Low,
Adjustment Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Adjustment Management,VS4-L2-05,"Apply financial adjustments to Land Tax liabilities following reassessment, amendment, or correction.",Med,
Instalment Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Instalment Management,VS4-L2-03,"Manage instalment arrangements for paying Land Tax, including schedule setup and monitoring.",Low,
Payment Allocation Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Payment Allocation Management,COM-06-L2-01,,Low,
Payment Allocation Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Payment Allocation Management,VS4-L2-02,Allocate payments to the correct Land Tax liabilities at customer and property levels.,Low,
Payment Allocation Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Payment Allocation Management,VS4-L2-06,,Low,
Payment Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Payment Management,VS4-L2-01,Receive and manage Land Tax payments from customers across all payment channels.,Med,
Penalty Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Penalty Management,COM-05-L2-02,Managing penalties applied for late lodgement or payment of Land Tax.,Low,
Refund Data Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Refund Data Management,COM-06-L2-03,Maintaining records of refund transactions and supporting documentation.,Low,
Refund Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Refund Management,VS4-L2-04,Process refunds arising from overpayment or reassessment of Land Tax.,Med,
Suspense Management,Land Tax Obligations Settled & Corrected,LTX-VS-06,,Suspense Management,COM-06-L2-02,Managing unallocated or unidentified payments held in suspense pending correct allocation.,Low,
Assessment Objection Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Assessment Objection Management,VS5-L2-01,"Manage formal objections to Land Tax assessment decisions, including receipt, review and determination.",Med,
Audit Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Audit Management,VS5-L2-06,Conduct audit activities to validate correctness and compliance with land tax obligations.,Low,
Case Creation,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Case Creation,COM-02-L2-02,"Creating new cases to track complex land tax matters, private rulings and referrals.",Low,
Case Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Case Management,VS5-L2-04,"Manage Land Tax cases across their full lifecycle including creation, tracking and closure.",Med,
Compliance Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Compliance Management,VS5-L2-05,"Monitor and address non-compliance with Land Tax obligations, including proactive and reactive activities.",Med,
Dispute Resolution Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Dispute Resolution Management,VS5-L2-03,"Resolve disputes arising from Land Tax matters, including VCAT referrals and settlements.",Med,
External Compliance Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,External Compliance Management,COM-02-L2-04,,Med,
Insolvency Relationship Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Insolvency Relationship Management,COM-02-L2-06,Managing land tax obligations and debt recovery for customers who are subject to insolvency proceedings.,Low,
Internal Compliance Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Internal Compliance Management,COM-02-L2-05,,Low,
Objection Data Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Objection Data Management,COM-02-L2-01,,Low,
Quality Assurance Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Quality Assurance Management,VS5-L2-08,Ensure accuracy and consistency of Land Tax decisions through sampling and review activities.,Low,
Referral Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Referral Management,COM-02-L2-03,,Low,
Referral Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Referral Management,VS5-L2-09,,Med,
Risk Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Risk Management,VS5-L2-07,Identify and manage risks associated with Land Tax administration.,Low,
Valuation Objection Management,"Disputes, Corrections & Reviews Resolved",LTX-VS-07,,Valuation Objection Management,VS5-L2-02,Manage objections relating specifically to land valuations used in Land Tax assessments.,Med,
Interest Management,Non-Compliance Addressed and Liabilities Recovered,LTX-VS-08,,Interest Management,COM-05-L2-01,Managing interest charges applied to overdue Land Tax liabilities.,Low,
Write Off Management,Non-Compliance Addressed and Liabilities Recovered,LTX-VS-08,,Write Off Management,COM-05-L2-03,Managing the write-off of Land Tax debts deemed irrecoverable.,Low,
Certificate Evidence & Record Management,Statutory Land Tax Assurances Provided,LTX-VS-09,,Certificate Evidence & Record Management,VS6-L2-02,"Maintain records and evidence supporting issued certificates, including liability outstanding at issue.",Low,
Issue Land Tax Certificates,Statutory Land Tax Assurances Provided,LTX-VS-09,,Issue Land Tax Certificates,VS6-L2-01,"Issue certificates confirming Land Tax status for land, used in property settlement and conveyancing.",Med,
